Time,XGyro,YGyro,ZGyro,XAccel,YAccel,ZAccel,XMag,YMag,ZMag,lat,long,height
0.000,0.10,0.04,-0.02,-0.1713,0.0602,-1.0969,-2.1486,-1.0397,-2.6135,-33.952548,18.458266,197.300
0.000,-0.05,-0.07,-0.08,-0.1682,0.0526,-1.1012,-2.1543,-1.0550,-2.6593,-33.952548,18.458266,197.300
0.000,0.10,0.04,-0.08,-0.1674,0.0537,-1.0991,-2.1155,-1.0707,-2.6117,-33.952548,18.458268,197.300
0.000,0.01,-0.04,0.03,-0.1712,0.0575,-1.0980,-2.1824,-1.0986,-2.6114,-33.952548,18.458270,197.200
0.000,-0.11,-0.13,0.09,-0.1767,0.0533,-1.1026,-2.0923,-1.0441,-2.6101,-33.952552,18.458270,197.200
0.000,0.04,-0.04,0.05,-0.1660,0.0540,-1.0996,-2.1229,-1.1110,-2.5871,-33.952552,18.458270,197.200
0.000,0.27,-0.53,5.48,-0.0702,0.0650,-1.1007,-2.1763,-1.0356,-2.6472,-33.952552,18.458272,197.200
0.000,-1.02,-0.50,1.95,-0.0662,0.0540,-1.1022,-2.1817,-1.0486,-2.6853,-33.952552,18.458272,197.200
0.000,-1.06,0.24,1.30,-0.1408,0.0922,-1.0749,-2.2177,-0.9656,-2.6549,-33.952556,18.458274,197.100
0.000,1.27,-2.42,1.01,-0.1105,0.1452,-1.0732,-2.2813,-0.9895,-2.6517,-33.952556,18.458276,197.100
0.000,-0.51,-0.13,2.04,-0.1848,0.0907,-1.1136,-2.2903,-0.9305,-2.6514,-33.952556,18.458282,197.100
0.000,-1.33,0.46,3.54,-0.1993,0.1764,-1.0619,-2.3321,-0.9368,-2.6209,-33.952568,18.458312,197.000
0.000,-0.57,-1.75,8.90,-0.1818,0.2597,-1.0500,-2.3173,-0.8480,-2.5970,-33.952584,18.458358,196.800
0.000,1.89,-0.69,7.80,-0.1870,0.2851,-1.0115,-2.3952,-0.7198,-2.6539,-33.952604,18.458398,196.600
0.000,-0.65,-0.56,7.92,-0.1867,0.2417,-1.1002,-2.3935,-0.6440,-2.5598,-33.952612,18.458448,196.300
0.000,1.32,1.41,-1.85,-0.2697,0.2048,-1.0749,-2.3545,-0.6145,-2.6414,-33.952628,18.458504,196.000
0.000,-2.44,-5.75,-10.69,-0.2962,0.0951,-1.0454,-2.3392,-0.5970,-2.6913,-33.952648,18.458542,195.600
0.000,2.21,3.36,-6.97,-0.0461,0.3461,-1.2191,-2.2683,-0.8067,-2.6225,-33.952672,18.458576,195.200
0.000,-4.53,0.47,-2.92,-0.1965,0.1748,-1.1008,-2.3193,-0.8467,-2.6174,-33.952688,18.458612,194.700
0.000,-7.79,-2.82,-2.43,-0.1228,0.0680,-1.1245,-2.2894,-0.9138,-2.6679,-33.952704,18.458638,194.400
0.000,-1.35,5.45,-10.82,-0.1419,0.1926,-1.0223,-2.2880,-0.8320,-2.6384,-33.952720,18.458666,194.100
0.000,-0.87,1.62,-19.33,-0.1977,0.0318,-1.0794,-2.1422,-1.0218,-2.6201,-33.952728,18.458690,193.800
0.000,-3.79,0.56,-9.23,-0.1074,0.0008,-1.0995,-2.0165,-1.0688,-2.6530,-33.952728,18.458724,193.300
0.000,-3.09,0.45,11.84,-0.1733,0.0727,-1.0709,-1.9500,-1.2027,-2.6142,-33.952724,18.458766,192.800
0.000,1.13,-1.38,17.44,-0.1284,0.2656,-1.0950,-2.1309,-1.0540,-2.6175,-33.952728,18.458810,192.100
0.000,3.32,-1.40,0.48,-0.0952,0.2158,-0.9545,-2.1697,-0.9836,-2.5816,-33.952732,18.458852,191.400
0.000,-3.07,-1.63,-4.93,-0.1110,0.0002,-1.1859,-2.1654,-1.0684,-2.5400,-33.952740,18.458900,190.700
0.000,-0.37,4.30,-3.07,-0.1684,0.0526,-1.1115,-2.0376,-1.0611,-2.5939,-33.952752,18.458950,189.600
0.000,1.68,-4.04,14.08,-0.1390,0.2188,-1.0752,-2.1323,-0.9837,-2.6898,-33.952760,18.458992,188.700
0.000,6.46,-0.68,13.26,-0.1229,0.3663,-1.0998,-2.2362,-0.8611,-2.5346,-33.952768,18.459034,187.900
0.000,-3.28,1.87,13.23,-0.0480,0.2768,-1.1141,-2.3591,-0.7475,-2.6101,-33.952780,18.459072,187.300
0.000,0.04,-1.32,15.00,-0.0471,0.3218,-1.0878,-2.2681,-0.5771,-2.6654,-33.952800,18.459114,186.700
0.000,-3.14,3.91,10.66,-0.0791,0.1998,-1.1525,-2.3641,-0.4278,-2.6208,-33.952820,18.459148,186.300
